student_id,gender,parental_education,family_income,internet_access,extra_classes,health_status,prev_score,study_hours_per_day,attendance_pct,sleep_hours,final_score,pass_fail
1,Male,Postgraduate,Medium,Yes,Yes,Good,44.0,4.6,76.4,9.4,43.6,Fail
2,Female,Secondary,Medium,Yes,Yes,Good,27.3,6.2,71.0,7.0,35.05,Fail
3,Female,Postgraduate,Low,No,No,Good,74.9,5.5,85.2,7.5,53.94,Pass
4,Female,Graduate,Medium,No,Yes,Excellent,49.6,2.8,70.5,8.6,46.98,Fail
5,Male,Postgraduate,Medium,Yes,No,Excellent,31.7,3.2,70.1,6.8,37.3,Fail
6,Male,Secondary,High,Yes,No,Average,64.2,6.6,86.0,6.2,49.73,Fail
7,Male,Graduate,High,Yes,Yes,Good,73.9,3.8,80.0,8.0,50.22,Pass
8,Female,Secondary,Medium,Yes,Yes,Good,60.2,3.7,79.7,7.1,44.28,Fail
9,Female,Secondary,High,Yes,No,Good,55.1,2.6,82.0,7.2,48.72,Fail
10,Female,Graduate,High,No,No,Good,59.6,5.3,52.0,6.0,39.48,Fail
11,Male,Postgraduate,Low,Yes,No,Poor,56.4,8.6,86.4,4.9,43.07,Fail
12,Female,Postgraduate,Low,Yes,Yes,Good,41.8,2.4,84.2,7.3,40.56,Fail
13,Female,Graduate,Medium,Yes,No,Good,51.3,4.5,59.7,8.1,31.87,Fail
14,Male,Secondary,Medium,Yes,No,Average,69.8,7.3,71.3,6.7,62.11,Pass
15,Male,Secondary,Medium,No,No,Excellent,66.8,4.3,74.4,8.7,42.88,Fail
16,Male,Graduate,Medium,Yes,Yes,Excellent,64.5,5.4,73.0,6.2,48.07,Fail
17,Male,Secondary,Medium,Yes,No,Good,47.1,2.4,80.0,5.7,41.96,Fail
18,Female,Primary,Medium,Yes,No,Average,59.3,5.4,96.5,6.9,50.07,Pass
19,Male,Secondary,Low,Yes,Yes,Good,29.3,4.1,91.2,6.9,37.62,Fail
20,Male,Secondary,High,Yes,No,Average,64.7,6.5,,7.9,51.81,Pass
21,Female,Secondary,Medium,Yes,Yes,Average,83.4,6.9,84.3,6.1,66.75,Pass
22,Male,Secondary,High,Yes,Yes,Good,39.9,9.7,94.9,,53.51,Pass
